Year,Month,Index
1727,Feb,2.757215384
1727,Mar,2.751174884
1727,Apr,2.718603604
1727,May,2.699927724
1727,Jun,2.69426812
1727,Jul,2.638352059
1727,Aug,2.666459257
1727,Sep,2.642954576
1727,Oct,2.785333021
1727,Nov,2.744115955
1727,Dec,2.765597807
1728,Jan,2.764067009
1728,Feb,2.746936986
1728,Mar,2.698441584
1728,Apr,2.617162292
1728,May,2.720708606
1728,Jun,2.714675515
1728,Jul,2.696408078
1728,Aug,2.650483445
1728,Sep,2.599171628
1728,Oct,2.629767161
1728,Nov,2.63232261
1728,Dec,2.635158338
1729,Jan,2.650830049
1729,Feb,2.68485795
1729,Mar,2.752011508
1729,Apr,2.744645788
1729,May,2.754685667
1729,Jun,2.754554473
1729,Jul,2.752472765
1729,Aug,2.788616791
1729,Sep,2.833648249
1729,Oct,2.811418828
1729,Nov,2.768197129
1729,Dec,2.855748898
1730,Jan,2.833490234
1730,Feb,2.836837244
1730,Mar,2.883304646
1730,Apr,2.826761178
1730,May,2.828245753
1730,Jun,2.865471991
1730,Jul,2.854757131
1730,Aug,2.871791025
1730,Sep,2.876174785
1730,Oct,2.859636406
1730,Nov,2.859341699
1730,Dec,2.9239634
1731,Jan,2.931211539
1731,Feb,2.890633476
1731,Mar,2.915069357
1731,Apr,2.909102408
1731,May,2.922153956
1731,Jun,2.876797885
1731,Jul,2.786559869
1731,Aug,2.841173256
1731,Sep,2.850345937
1731,Oct,2.82924486
1731,Nov,2.79006306
1731,Dec,2.84846345
1732,Jan,2.791560085
1732,Feb,2.793392907
1732,Mar,2.739509017
1732,Apr,2.758459977
1732,May,2.768105816
1732,Jun,2.812441088
1732,Jul,2.733465273
1732,Aug,2.729414496
1732,Sep,2.813729371
1732,Oct,2.786360883
1732,Nov,2.815379217
1732,Dec,2.80772478
1733,Jan,2.753343622
1733,Feb,2.792792205
1733,Mar,2.838910807
1733,Apr,2.763096415
1733,May,2.517576717
1733,Jun,2.462663816
1733,Jul,2.248243635
1733,Aug,2.257353129
1733,Sep,2.349814
1733,Oct,2.290002303
1733,Nov,2.281100741
1733,Dec,2.255324429
1734,Jan,2.273394003
1734,Feb,2.322267997
1734,Mar,2.414970212
1734,Apr,2.373997191
1734,May,2.388052287
1734,Jun,2.434790943
1734,Jul,2.365638083
1734,Aug,2.40711628
1734,Sep,2.465863414
1734,Oct,2.44930862
1734,Nov,2.462184361
1734,Dec,2.474653765
1735,Jan,2.455265323
1735,Feb,2.451832525
1735,Mar,2.404348011
1735,Apr,2.445254925
1735,May,2.441966672
1735,Jun,2.481842192
1735,Jul,2.56857088
1735,Aug,2.7043702
1735,Sep,2.717199096
1735,Oct,2.741003289
1735,Nov,2.78587708
1735,Dec,2.823006231
1736,Jan,2.791703658
1736,Feb,2.819840089
1736,Mar,2.839431239
1736,Apr,2.80482778
1736,May,2.918933831
1736,Jun,2.881344514
1736,Jul,2.848564632
1736,Aug,2.853882889
1736,Sep,2.847230047
1736,Oct,2.859348598
1736,Nov,2.897972926
1736,Dec,2.782023659
1737,Jan,2.882790906
1737,Feb,2.890597001
1737,Mar,2.88343609
1737,Apr,2.825868175
1737,May,2.837607729
1737,Jun,2.838963249
1737,Jul,2.826042773
1737,Aug,2.825377973
1737,Sep,2.820268977
1737,Oct,2.815119145
1737,Nov,2.806348999
1737,Dec,2.780708192
1738,Jan,2.729638874
1738,Feb,2.796998356
1738,Mar,2.761511811
1738,Apr,2.664386675
1738,May,2.799352706
1738,Jun,2.817159075
1738,Jul,2.812071176
1738,Aug,2.823901445
1738,Sep,2.819856954
1738,Oct,2.804004504
1738,Nov,2.762475966
1738,Dec,2.781058802
1739,Jan,2.730288625
1739,Feb,2.754099311
1739,Mar,2.619961028
1739,Apr,2.581860084
1739,May,2.58477565
1739,Jun,2.60727702
1739,Jul,2.560609097
1739,Aug,2.642412197
1739,Sep,2.658012331
1739,Oct,2.624001743
1739,Nov,2.621294515
1739,Dec,2.69011734
